English	Gilaki
Hey little one! she called to the black fish. Are you still half alive so that I can eat you?	هأن ٚ وأسي سئه ماىي-ئه دخأنده کي بگه: «اؤى کۊجه‌ته! هأندئه ايته پيچالى جان دأري کي بشأىه تره خۊردن؟»
But she didn't finish speaking 	أمما نتأنسته خۊ گب-ه سر بأره.
because the moment she opened her beak, the black fish jumped and fell down.	چۊنکي تا هأتؤ خۊ تۊک-ه واگۊده، سئه ماىي بجسته بکته بيجير.
The heron realized how badly she'd been tricked and dived after the little black fish.	آب‌غۊمپيل بيدئه بدجۊر خۊ سر کۊلا بۊشؤىأ، دکته کۊجدانه سئه ماىي دۊمبال.
The fish streaked through the air like lightening.	ماىي برق ٚ مأنسأن هوا سر شيرجه شؤىي.
The fish had lost its senses from thirst for sea water and thrust its dry mouth into the moist wind of the sea.	درىا آب بدجۊر أن-ه وأستي، هأچين مستأبؤسته‌بۊ ىؤ خۊ خۊشکأبؤ دهن-ه بيسپارده‌بۊ درىا نمدار ٚ باد-ه.
But as soon as the fish splashed into the water and took a new breath, the heron caught up and this time swallowed the fish so fast that the fish didn't understand what had happened.	أمما تا بۊشؤ آب ٚ مئن ؤ ايته نفس تازأگۊده، آب‌غۊمپيل برق ٚ مأنسأن فأرسئه ىؤ أىسفر-ه اي جۊر تۊنداتۊند ماىي-ئه شکار بۊگۊده ؤ فورسته کي ماىي تا چن لحظه نفامسته چيچي بلا خۊ سر بأمؤىأ؛
The fish only sensed that everywhere was wet and dark. There was no way out. The sound of crying could be heard.	فقط حيس گۊدي گه همه‌جا هيست ؤ تاريکه، راىي ننأىه ؤ گرىه صدا أىه.
When the fish's eyes had become accustomed to the dark, it saw a tiny fish crouched in a corner, crying.	وقتي أن ٚ چۊشمان تاريکي-ئه عادت بۊگۊدد، ايته کۊجدانه کيلکا-ىه بيدئه گه ايته کش جۊغدأزئه‌بۊ، ونگ زئي
He wanted his mother.	خۊ مأر-ه خأستي.
"The black fish approached and said: ""Little one! Get up! Think about what we should do."	سئه ماىي نيزيکأبؤ بۊگؤته: «کۊجه‌ته! ويريس چاره فيکر-ه بۊکۊن.
"What are you crying for? Why do you want your mother?"""	أرسۊ فۊکۊني ؤ تي مأر-ه خأىي کي چي؟»
You there ...Who are you? responded the tiny fish. Can't you see? ...I'm ...dy...ing. O, me ...oh, my ...oh, oh ...	کيلکا بۊگؤته: «تۊ دئه... کيسي؟...مگر نيديني کي...کي بيپا بؤستاندرم؟...اۊهۊ...اۊهۊ...اۊهۊ...
mama ... I ...	مأرى...من...
I can't come with you to pull the fisherman's net to the bottom of the sea any more ...oh, oh ...oh, oh!	من دئه نتأنمه تي أمرأ بأىم ؤ مالا لاکش-ه بؤبؤرم درىا تان... اۊهۊ...اۊهۊ!»
Enough, there! said the little fish. You'll disgrace all fish.	کۊجدانه ماىي بۊگؤته: «بؤرسين رئه! تۊ کي هرچي ماىي آبرۊ-ؤ پاک بؤبؤردي!»
"After the tiny fish had controlled his crying, the little fish continued, ""I want to kill the heron and find peace of mind to all fish."	وقتي کيلکا خۊ گرىه-أ بدأشته، کۊجدانه ماىي بۊگؤته: «من خأىمه آب‌غۊمپيل-ه بۊکۊشم ؤ ماىئن-ه راحتأکۊنم؛ 
"But first, I must send you outside so that you don't ruin everything."""	ولي أول‌سر وا تره اۊسئکۊنم بيرۊن کي دیرین‌وارین نۊکۊني.»
You're dying yourself, replied the tiny fish. How can you kill the heron? The little fish showed the dagger.	کيلکا بۊگؤته: «تۊ گه خۊدت مرداندري، چۊتؤ خأىي آب‌غۊمپيلئک-ه بۊکۊشي گي؟»
From right inside here, I'm going to rip open her stomach.	کۊجدانه ماىي خۊ خنجر-ه نيشان بدأ بۊگؤته: «هأ دۊرۊن ٚ جا، أن ٚ ترنه-أ پارأکۊنمه.
Now listen to what I say.	أسه گۊشأدن بيدين چي گمه؛ 
I'm going to start tossing back and forth in order to tickle the heron. As soon as she opens her mouth and begins to laugh, you jump out.	من بيناکۊنمه واز ٚ ولنگ گۊدن ؤ أرأ اۊرأ شؤن کي آب‌غۊمپيل-ه گيجگيجي بأىه ؤ هأتؤ کي أن ٚ دهن وابؤ ؤ بيناگۊده هارهار خنده گۊدن، تۊ واز بۊکۊن ؤ بيرۊن بۊشۊ.»
Then what about you? asked the tiny fish.	کيلکا بۊگؤته: «پس خۊدت چي؟»
Don't worry about me.	کۊجدانه ماىي بؤته: «مي فيکر-ه نۊکۊن.
I'm not coming out until I've killed this good-for-nothing.	من تا أ گردن‌بشکفت ٚ خيۊن-ه فۊنکۊنم، بيرۊن أمؤنکس نيٚمه.»
The black fish stopped talking and began tossing back and forth and tickling the heron's stomach.	سئه ماىي أ گب-ه بزئه بيناگۊده واز ٚ ولنگ گۊدن ؤ أرأ اۊرأ شؤن ؤ آب‌غۊمپيل ٚ شکم-ه گيجگيجي دأن.
The tiny fish was standing ready at the entrance of the heron's stomach.	کيلکا، آب‌غۊمپيل ٚ مأده درآستان حاضير بىسأبۊ.
As soon as the heron opened her mouth and began to laugh, the tiny fish jumped out and fell into the water.	تا آب‌غۊمپيل خۊ دهن-ه واگۊده بيناگۊده هارهار خنده گۊدن، کيلکا أن ٚ دهن ٚ جا بيرۊن بپرسته ؤ جيويشته ؤ بأزين دکته آب ٚ مئن؛ 
But no matter how long he waited, there wasn't any sign of the black fish.	أمما هرچي رافا بىسأ سئه ماىي جا خبري نؤبؤ.
Suddenly, he saw the heron twist and turn and cry out.	ايدفأ بيدئه آب‌غۊمپيل هأتؤ پيچ‌وايپچ خۊره ؤ زهار کۊنه، 
Then she began to beat her wings and fell down.	تا أنکي بيناگۊده چک ٚ پر زئن ؤ جير أمؤن ؤ 
She splashed into the water.	بأزۊن شالاپپي دکته آب ٚ مئن ؤ 
She beat her wings again, then all movement stopped.	هأندئه چک ٚ پر بزئه تا أن ٚ جۊنب ؤ جۊش بۊخۊته؛ 
But there was no sign of Little Black Fish, and since that time, nothing has been heard.	ولي کۊجدانه سئه ماىي جا هيچ خبري نؤبؤ ؤ تا أسه أم هيچ خبري نؤبؤسته...»
"The old fish finished her tale and said to her 12,000 children and grandchildren, ""Now it's time to sleep, children. Go to bed."""	پير ٚ ماىي خۊ قصصه-أ سر بأرده ؤ خۊ دوازده‌هيزار ته زأک ؤ نووه-أ بۊگؤته: «دئه خۊفتن ٚ زماته زاکان، بيشيد بۊخۊسيد.»
"Grandmother! exclaimed the children and grand-children, ""You didn't say what happened to that tiny fish."""	زاکان ؤ نووه‌أن بۊگؤتد: «ننأ! نۊگؤتي اۊ کيلکا چي بؤبؤ.»
We'll leave that for tomorrow night, said the old fish.	پير ٚ ماىي بۊگؤته: «اۊن أم بمانه فرده شب ٚ ره.
Now, it's time for bed.	أسه خاب ٚ وقته
Goodnight.	شب خۊش!
Eleven thousand, nine hundred and ninety-nine little fish said goodnight and went to sleep.	يازده‌هيزار ؤ نؤهصد ؤ نود ؤ نؤه‌ ته کۊجدانه ماىي «شب خۊش» بۊگؤتد ؤ بۊشؤد بۊخۊفتد.
The grandmother fell asleep too.	ننأ ىأم واخابأشؤ؛ 
But try as she might, a little red fish couldn't get to sleep. All night long she thought about the sea.	أمما ايته کۊجدانه سۊرخ ٚ ماىي هر کار بۊگۊده أن ٚ چۊمان واگرمأنۊشؤد، شب تا صؤب همش درىا فيکر دۊبۊ.
The Mare	فۊخۊس
I don’t know how I’ve come here, or they have.	نۊدؤنم چۊتؤ بمأم ائره. یا ایشؤن بمأن.
These rooms don’t look familiar.	اي اۊتاقؤن آشنا نین.
I mean, considering everything, this must be my house.	یعنی هرچي فیکر کؤنم ائره خأ مي خؤنه ببۊن.
But nothing looks familiar to me.	أمما هیچ‌چی مئبه آشنا نیه.
The walls make one feel gloomy.	دیوارؤنˇ جي آدمˇ دیل گینه.
One can’t tell if it’s day or night.	مألوم نیه روزه یا شؤ.
It looks like twilight from the window.	درجیکˇ جی آسمؤن بخالئه گورگˇمیشˇ هوا.
There are three of them.	اوشؤن سو نفرن.
They are turning their things upside down.	خوشؤنˇ جار و جورˇ مئنه وامته درن.
I grow weary of their rummaging, and say: “We have rope at home.	ایشؤنˇ وامج‌دمجأ جی می آزار سر هنه، گونم: خؤنه مئن لافند دأنیم.
Shall I fetch it?” 	بأرم؟
They say, “Fetch it, man! 	گونن: بأر دئه برأ.
We’ve been rummaging for half an hour now.	أمه نیم ساعت تؤ خورده دریم.
Fetch it!”	بأر دئه!
I tell my mother, “Mom, where is the rope?” 	می مأره گونم: مأرئی! کؤره هننأ؟
My mom is still crying.	می مأرئی هوتؤ أرسو فوده دره.
She brings a hanky to her eye, and then points to the cupboards in the kitchen.	یکته دسمال گینه خو چوشمˇ پیش، بازین خو دسˇ همره آشپزخؤنه کابینتؤنه نشؤن دئنه.
I’m opening the cupboard door hastily when bang my head on it, as usual.	هنده ووتولأ بؤ کابینته دره وأ کأدرم اونˇ در فگئنه می کللهٰ.
I give them the rope while rubbing my head.	هوتؤ می سره دسأسین، لافنده بئنم هدئنم اوشؤنه.
My mother says crying, “Did you stub your head on the cupboard door again?”	می مأر ونگ-دبؤ گونه: هنده تی سره فوکوتؤنِیْ کابینتˇ دره؟
I say, “It’s enough, isn’t it?”	مو گونم: کفایت کؤنه دئه؟
The bespectacled one says, “Thanks.	اونی گه عینک بزئه دأنه گونه: تی دس درد نکونه.
Yeah.	أهأ.
Knock on wood, you’re tall; it doesn’t take much rope.”	تی قدّم ماشالله بولنده، زیاد لافند نبئنه.
The one whose radio keeps crackling says, “We’ll mention your cooperation, Sir.	او یک نفر که هأی اونˇ بیسیمأ جی سرصدا ویریسنه گونه: أمه تی ای همکاری‌ئه لحاظ کؤنیم آقا.
We’ll certainly write it in our report.”	حتما أمه گوزارشˇ مئن نویسنیم.
I become glad.	خوشحالأ بنم.
I say, “I wrote my will and gave it to my mother.” 	گونم: مو می وصیت‌نامهٰ بنویشتم هدأم می مأره.
Their radio operator says, “Well done, Sir.	ایشؤنˇ بیسیمچی گونه: خؤب کاری بودی آقا.
So we can start our job now.”	پس دئه أمه کاره سرأ گیریم دئه.
My father enters the living room and, as if searching for something, says, “Haven’t you seen my lighter anywhere?”	می پئر هنه تینیبی مئن و اوجور کی یک‌چی دومبال وامته دبی گونه: می فندکه ندی؟
I look at my mother and my mother is looking around her.	مو می مأره نیگا کؤنم و می مأر خو دؤر و وره پیرأسته دره.
My father feels embarrassed before the three and, as if saying “I give in!”, bring forth his two hands and says, “I’m sorry.	می پئر سو نفرˇ پیش خجالت خؤنه و خو دوتته دسه پیش أبئنه کی مثلا مو تسلیمم و گونه: ببخشین.
I didn’t want to interrupt you.	مو نخأستم شمه کاره قططأ کونم.
I’ll go as soon as I find my lighter.	می فندکه بیاجم شنم.
Please! Please! 	خاهش کؤنم. خاهش کؤنم.
Make yourself at home! Oh, there! See? It was in my pocket.”	راحت ببین. آخ. بیه. بدی؟ می جوفˇ مئن دبو.
My mother turns to me and says, “He’s always acting like that.	می مأر وگردنه مأ گونه: همیشک ایتؤ فیچئنه.
I’ve told him a hundred times to search his pockets well before rummaging around the house.”	صد دفأ بوتم اول تی جوفؤنه باقایده وامج بازین خؤنه مئن دؤره بگرد.
The one wearing a hat writes something down.	اونی گه کولا بنأ دأنه یکچی نویسنه.
The radio operator, while his radio is crackling, says, “Write these cases in the report, too.”	بیسیمچی، هوتؤ اینˇ بیسیم خرخر-دبؤ گونه: ای مواردم گوزارشˇ مئن بنویس.
 I say, “I don’t smoke, by the way.” 	مو گونم: البته مو سیکاری نیما.
The radio operator says, “We know that, Sir. We do.”	بیسیمچی گونه: دؤنیم آقا. دؤنیم.
It suddenly occurs to me, “why am I not running away?” Actually I don’t know whether I’m supposed to run or not.	یکهؤ مئبه گونم چره فرار نکؤنم؟ یعنی ندؤنم خأ فرار گودن یا نه.
If, right now, I run out of this door or jump into the alley from that window I won’t die anymore.	أگه هی ألنئی، ای درˇ جی تختأ گیرم یا او درجیکˇ جی واز بکونم کوچه مئن، دئه نمینم.
They’ve been moving around in the house and making preparations for me since this morning, and strangely enough I haven’t even tried.	عجیبه که صوبˇ سر تا ایسه که ایشؤن خؤنه مئن تؤ خورده درن و مئبه انگاره گیته درن، مو هیچ حقسأی نودم.
I think to myself again, “I should write these after waking up.	بازین مئبه هنده فیکرأ شنم: خؤأ جی ویریسأ پسی خأ ایشؤنه بنویسم.
What a story!	عجب قصه‌یی بنه!
But, what if it’s not a dream? 	أمما أگه خؤ نبؤ بی چی؟ 
What if I really die? 	أگه راسسه‌راسسه بمیرم چی؟ 
Their actions show no sign of a dream.	ایشؤنˇ کردˇکردار کی هیچ خؤه سفتنشؤن ندئنه.
I say, “I’ll go drink a glass of water and back.” 	گونم: مو بشم یک لیوؤن آؤ بخورم بأم.
The radio operator seems to have discovered my intention; takes my arm and comes along with me to the fridge.	بیسیمچی بخیأله بفأمسه مو چی خیالی دأنم، می باله گینه و می همره هنه تا یخچالˇ سر.
It’s dark inside the fridge.	یخچالˇ مئن تاریکه.
There’s just one glass of water in it.	اونˇ مئن خالی یکته لیوؤن آؤ هننأ.
Nothing else! I take the glass and drink slowly.	دئه هیچ‌چی! لیوؤنه ویگینم و نوأ-نوأ آؤ خؤنم.
Fear fills my heart.	می دیله سهن دکئنه.
Now it’s slowly his turn to lead me.	دئه کم-کمئی اونه گه مأ برده دره.
I can’t walk.	مو شؤ مننئم.
I hope I’m dreaming, so that I can write a great story out of it after waking up.	کاشکی خؤ ببون کی ویریسأ پسی یکته هکشی قصه اونˇ جی بنویسم.
What a story!	چی قصه‌یی بنه.
The bespectacled man takes my arms and gets me up on the chair.	عینکی مردأی می باله گینه مأ بئنه صندلی سر.
The phone is ringing.	تلفون زنگ زئه دره.
My mother goes to answer the phone.	می مأر شنه تلفونه اؤجا بده.
The bespectacled man puts the noose around my neck.	عینکی مردأی لافنده دکؤنه می گردن.
The radio operator goes into the other room and calls the other two there.	بیسیمچی شنه اویکته اوتاقˇ مئن. ای دو نفرم دخؤنه خو ورجه.
They are speaking quietly with one another.	کسؤنˇ همره ایواشئی گب زئه درن.
I can’t hear them.	مو اشتؤسه مننئم.
"My mother is talking on the phone: “Yes, Ma’am."""	"می مأر تلفونˇ همره گب زئه دره. ""أهأ خنم."""
They came at dawn.	صوبˇ تارکی بمأن.
I don’t know.	مو ندؤنم.
They said it was their duty.	بوتن أمه وظیفه دأنیمئی.
Yeah. My poor boy! What can I say, dear? What can I say?”	أهأ. می جوؤن ریکأی. چی بگؤم جؤن. چی بگؤم؟
I’m thinking to myself, “It’s just four strides to the door.”	مئبه فیکر کأ درم تا در چارته هلنگ ویشتر نیه.
 I’ll have gone out of the door before they manage to get out of the other room.	تا اوشؤن اویکته اوتاقˇ جی فرسن مو درأ جی بیرین بشؤم.
Then I’ll wake up from this dream.	بازین ای خؤأ جی‌م ویریسنم.
Then I can write its story.	بازین تینم اینˇ قصهٰ بنویسم.
What a story! I can turn the three to fifteen or twenty.	چی قصه‌یی بنه. تازه تینم ای خؤنه و ای اوتاقˇ توصیفˇ سر هأی شات و مات بدئم.
And I’ll give an oration addressed to boss of these fifteen or twenty, so he will blush red out of shame while putting the noose around my neck.	تینم او سو نفره چأکونم پؤنزه نفر یا بیس نفر. خودمم یکته خطابه ایراد کؤنم خطاب به او پؤنزه-بیس نفرˇ رئیس. یکجور کی وختی لافنده تودأ دره می گردن خجالتی بورأ بی.
I’ll hand guns to two or three of them, too.	دو سه نفرˇ دسم اسلحه هدئنم.
Why leave it so boring? They’ve just got up and headed here; they haven’t even brought any rope.	ایتؤ خوشکˇخالی چیسه آخه! هوتؤ بمأن ائره. حتی خوشؤنˇ همره لافندم نأردن.
You feel offended.	آدمه بر خؤنه دئه.
My brother comes out of his room.	می برأ خو اوتاقأ جی بیرین هنه.
His eyes are sleepy.	اینˇ چیشمه خؤ دره.
I say, “You slept so much!”	گونم: ساعتˇ خاب.
What’s going on? You’re making so much noise.	چی ببؤ؟ چنی سرصدا کؤنین.
Were you hibernating, dude?!	آخری خؤه مگه رئه؟
What are you doing up there? Why have you put a noose around your neck?	تو او جؤر چی کؤنی؟ تی گردنه چره لافند دودی؟
I haven’t dude.	مو نودم گه رئه.
They have.	ایشؤن دودن.
Who?	کی‌ئن؟
They’re in mom and dad’s room.	بابا مامانˇ اوتاق ایسأن.
Silly! Look, wake me up after an hour, OK? Don’t forget it.	تور! مأ نیا. یک ساعت دیگه مأ دخؤن. خؤ؟ تا یادأ نشی.
I have a class.	کلاس دأنم.
Yes, Sir!	چشم.
After my brother closes the door the three men’s discussion ends.	می برأرˇ دره دزئه پسی، سو نفرˇ گبم تمنأ بنه.
They come out.	بیرین هنن.
My mom also says goodbye: “OK dear, OK.	می مأرم خودافظی کؤنه: خؤ جؤن. خؤ.
I should go now.	مو فعلن بشم.
They’ve come again.	هنده بمأن.
I love you! Let me see what they want.	تی بلأ می سر. بینم چی کأ درن.
Call you later.”	زنگ زئنم تئبه.
Kindly sign here please, Ma’am.	حج‌خنم، محبت بکونین ائرهٰ امضا بکونین.
Should I sign, too?	منم خأ امضا بکونم؟
The bespectacled man tells me, “Not you! No need.	عینکی مردأی، مأ گونه: نأ! شمه لازم نیه.
Just pay 4500 Tomans, please.	فقط لطف بکونین چار هیزار و پونصد تومؤن هدین.
And here is your receipt.”	اینم شمه رسید.
Pay for what?	پول چی وأسی؟
All these comings and goings and tools and equipment need money.	ای همه شؤن و أمأن و دفتر و دستک خرج دأنه دئه.
You’ve been lucky enough to have rope at home; otherwise its price would be added, too.	تازه شانس بأردی لافند دأشتی خؤنه. نأوئیره اونˇ پولم ایشؤنˇ سر بو.
I say, “My pocket is empty.	مو گونم: می جوف خالئه.
Wait and I’ll get it from my father.	بئس می پئرأ جی هگیرم.
Can I go to the restroom? I’ve got to take a leak.”	مو تینم بشم جایی؟ مأ میزأکته.
The radio operator says, “No, Sir! You shouldn’t have drunk water.	بیسیمچی گونه: نه آقا! اصلن اشتبا بودی بشؤی آؤ بخؤردی.
We’re out of time, Sir!”	أمه وقت ندأنیم آقا!
The third man who has kept silent so far approaches the chair under my feet and says, “You can say your last words before the sentence is carried out.”	سومی مردأی که تا ایسه تام‌بزئه ایسأ بو هنه می پایˇ جیرˇ صندلی ور، گونه: ألئه حوکمه اجرا نوده تینی تی آخری گبه بزنی.
I want to say it to my mother but I see she’s talking on the phone.	خأنم می مأره بگؤم کی اینم می مأر تلفؤنˇ همره گب زئه دره.
I tell the bespectacled man, “Please tell my mother to wake up my brother after an hour; he has a class.”	عینکی مردأکه گونم: لطف بکونین می مأره بگین یک ساعت دیگه می برأره دخؤنه. کیلاس دأنه.
The third man says, “Nothing else?”	سومی مردأی گونه: دئه گب ندأنی؟
I say, “Do you give cigarettes, like in the movies?”	گونم: فیلمؤنˇ مورسؤن سیکارم هدئنین؟
The radio operator lashes out at me, “Sir! But you said you don’t smoke, Sir! So you lied, yeah?”	بیسیمچی مأ فترکنه: آقا! تو کی بوتی سیکاری نی کی آقا! مألوم کؤنه دورؤ بوتی. أهأ؟
I’ve decided to start smoking.	تصمیم بیتم سیکاری ببؤم.
Alright.	باشد.
Give this gentleman a cigarette.	یکته پابلوس هدین اینه آقا! 
And mention this in the report, too.	ای موردم در ضمن گوزارشˇ مئن بأرین.
But I didn’t lie, bro! 	أمما مو دورؤ نوتم جؤن.
I’ve just decided to smoke from now on.	مو تصمیم بیتم ای دقیقه پسی سیکاری ببؤم.
OK! Then write: “The abovementioned apparently smoked a tobacco product at the moment the sentence was being carried out.”	خؤ! پس بنویس: نامبرده، حوکمˇ اجرا گودنˇ دم، ظاهرن اقدام به استعمال دخانیات بوده.
Why “apparently”?	چره دئه ظاهرن؟
We don’t know what you’re smoking, Sir.	مألوم نیه کی چی کشئه دری کی آقا.
What if it’s not a cigarette?	کؤره جی مألوم کی سیکار ببون؟
But I got this from yourself.	اینه خؤدتؤنأ جی هیتم.
The bespectacled man says, “That’s enough.	عینکی مردأی گونه: وسسه.
It’s so late.	خئلی دیرأ بؤ.
You wasted a lot of our time today.”	ایمرو خیلی أمه وقته بیتی.
My mom’s call ends.	می مأرˇ تلفؤن تمنأ بنه.
At this moment my dad enters the living room.	هی‌دم، می پئر هنه تینیبی مئن.
I’ve just closed my eye but I open them again.	مو که تازه می چوشمه دوسته بؤم هنده می چوشمه وأ کؤنم.
My dad says, “Change the motor oil today, OK dear?”	می پئر گونه: ایمرو یک‌سر بشو ای ماشینˇ روغؤنه عوضأ کؤن. خؤ جؤن؟
Dad! I can’t change it.	بابا! مو عوضأ گوده مننئم.
Why? What’s with you?	چره؟ تأ چیسه مگه؟
I’m dying.	مو مرده درم.
So what?	خؤ چی ربطی دأنه؟
I mean, because I’m dying I can’t go to the garage.	می منظور اینه کی چون مرده درم، دئه تعویض‌روغؤنی شؤ مننئم.
You always have an excuse!	خولاصه همش یک بهانه‌یی دأنی دئه!
My father lights a cigarette and goes into the kitchen.	می پئر یکته سیکار خوشئه وأگینه و شنه آشپزخؤنه مئن.
His voice echoes from the kitchen, “I’ll go myself.	آشپزخؤنه جی اینˇ دخؤنکه هنه: خودم شنم.
Brought up this kid for nothing.”	هچی زأک پیلله بودیم.
The radio operator whispers into the bespectacled man’s ear, “Sir! Also write that the abovementioned does not have faith in spirits and the Resurrection Day.	بیسیمچی ایواشئی عینکی مردأیˇ گوشˇ جیر گونه: آقا! اینم بنویس کی نامبرده به معاد و روح اعتقاد ندأنه.
Mention that the reports received are corroborated.”	قید بکون کی گوزارشاتˇ واصله تایید بنه.
Then he turns to my mom and says, “We’ll start out job with your permission.”	بازین وگردنه می مأره گونه: أگه اجازه بدین أمه کاره سرأ گیریم.
My mother, says, “Sure; please” with a hand gesture.	می مأر اشاره همره گونه: خاهش کؤنم. اختیار دأنین!
I say, “Mom, give Dad this receipt later.”	مو گونم: مأرئی. ای قبضˇ رسیده بازین هدی بابا.
My father shouts from the kitchen, “It’s none of my business! They take money for nothing.”	می پئر آشپزخؤنه جی هرأی کؤنه: به مو هیچ ربطی ندأنه! هچی مردومه پول هگینن.
My mom takes the receipt and puts it in her dress pocket.	می مأر قبضه هگینه و دکؤنه خو پیرأنˇ جوفˇ مئن.
And I close my eyes and wait…	منأ نی می چوشمه دودنم، ایسنم رافا.
It’s useless.	فایده ندأنه.
I’m pressing my eyelids together so that something comes to my mind to end my story.	می چیشمˇ میتالؤنه دخشارده درم بلکی یکچی مأ یاد بأ، می قصهٰ تمنأ کونم.
No use.	نبنه.
I’m thinking about how it should end. No use either.	هرچی فیکر کؤنم کی آخرش چوتؤ خأ تمنأ بون، هنده اینم نبنه.
I’m stifling.	مأ خفتأ زئه دره.
That’s enough, Sir! Your “five minutes” is more like half an hour.	وسسه دئه آقا! تی پنج دئقه ببؤ نیم ساعت.
We don’t have time.	أمه وقت ندأنیم.
I open my eyes to the voice of the radio operator and say, “Give me five minutes.	بیسیمچی صدا جی، می چیشمه وأ کؤنم گونم: پنج دئقه دئه مؤله بدین.
Let me end this story well.”	بدأرین مو ای قصهٰ خؤرؤم تمنأ کونم.
No, Sir! You’ve had three “five-minutes” so far.	نأ آقا! تا ایسه سو تته پنج دئقه مؤله بیتی.
It’s not our business to answer for your story.	أمه کی تی قصه مسول نیم.
Kick it, Sir; kick and end it.	بزن آقا. بزن تمنأ کون.
But my story…	أخه می قصه...
